,hint,origin,roots,word
10,?［?＝back 回返；?＝to do 做 →］? ① do or ? in reply 反应／She was slow to ?. 她反应迟钝。② do against 反动，反作用／The villagers ?ed against oppression by an uprising. 村民们举行暴动反抗压迫。,react［re-＝back 回返；act＝to do 做 →］v. ① do or act in reply 反应／She was slow to react. 她反应迟钝。② do against 反动，反作用／The villagers reacted against oppression by an uprising. 村民们举行暴动反抗压迫。,"['re-', 'act']",react
11,?［?＝between 在…之间；?＝to do 做→“to do between two things 在两者之间互动”→］? have an effect on each other 互相作用，互相影响／All things are ?related and ?ed on each other. 一切事物都是既互相联系又互相影响的。,interact［inter-＝between 在…之间；act＝to do 做→“to do between two things 在两者之间互动”→］v. have an effect on each other 互相作用，互相影响／All things are inter-related and interacted on each other. 一切事物都是既互相联系又互相影响的。,"['inter-', 'act']",interact
12,?［?＝across or through 穿过；?＝to drive 驱使→“to drive through 使通过”→］? carry on；manage 执行，办理／He ?ed some business at bank. 他在银行处理一些事务。,transact［trans-＝across or through 穿过；act＝to drive 驱使→“to drive through 使通过”→］v. carry on；manage 执行，办理／He transacted some business at bank. 他在银行处理一些事务。,"['trans-', 'act']",transact
13,"?［?＝to love 爱；?；?＝capable of 可…的→“capable of being loved 可爱的”→］? lovable, or kindly 可爱的；和蔼的／My history teacher is an ? old lady. 我的历史老师是个和蔼的老太太。","amiable［am＝to love 爱；-i-；-able a.＝capable of 可…的→“capable of being loved 可爱的”→］a. lovable, or kindly 可爱的；和蔼的／My history teacher is an amiable old lady. 我的历史老师是个和蔼的老太太。","['am', '-i-', '-able a.']",amiable
14,"?［?＝to love； ?（?）?＝person 人→“person who does sth for loving it（rather than for money）因爱好（而不是金钱）从事某项活动者”→］? person who practices an art, sport or science for his own pleasure（艺术、体育、科学等）业余爱好者／The planet was first found by an ? in astronomy. 这颗行星是一位业余天文爱好者最早发现的。","amateur［amat＝to love； -eur（-er）n.＝person 人→“person who does sth for loving it（rather than for money）因爱好（而不是金钱）从事某项活动者”→］n. person who practices an art, sport or science for his own pleasure（艺术、体育、科学等）业余爱好者／The planet was first found by an amateur in astronomy. 这颗行星是一位业余天文爱好者最早发现的。","['amat', '-eur', '-er', 'n.']",amateur
15,"?［?（来自同根名词?us）= person one loves, or friend 亲爱者，朋友；?＝able to be 能当…的→“able to be one's friend 能做朋友的”→］? in a friendly spirit, or peaceable 友好的；和睦的／The two countries have kept ? relations after the settlement of the arguments. 解决了争议之后，两国维持着友好的关系。","amicable［amic（来自同根名词amicus）= person one loves, or friend 亲爱者，朋友；-able a.＝able to be 能当…的→“able to be one's friend 能做朋友的”→］a. in a friendly spirit, or peaceable 友好的；和睦的／The two countries have kept amicable relations after the settlement of the arguments. 解决了争议之后，两国维持着友好的关系。","['amic', 'amicus', '-able a.']",amicable
16,"?［?＝to love 爱；?＝the state or result of 表状态或结果→“loving or the result of loving 恋爱或恋爱的结果”→］? ① love 恋爱 ② love affair, especially discreditable one 不正当的男女关系，桃色事件／There spread rumors about the ? of the knight. 谣言四传，涉及该骑士的桃色事件。","amour［am＝to love 爱；-our n.＝the state or result of 表状态或结果→“loving or the result of loving 恋爱或恋爱的结果”→］n. ① love 恋爱 ② love affair, especially discreditable one 不正当的男女关系，桃色事件／There spread rumors about the amour of the knight. 谣言四传，涉及该骑士的桃色事件。","['am', '-our n.']",amour
17,?［?＝to cause to be 使；amo(u)r ?＝love 恋爱→“to cause to be in love 使恋爱”→］? inflame with love; charm 使倾心；使迷恋／Her beauty ?ed the prince. 王子被她的美貌迷住了。,enamor［en- v.＝to cause to be 使；amo(u)r n.＝love 恋爱→“to cause to be in love 使恋爱”→］v. inflame with love; charm 使倾心；使迷恋／Her beauty enamored the prince. 王子被她的美貌迷住了。,"['en- v.', 'n.']",enamor
18,?［?＝to love 爱；?＝related to 与…有关的→］? related to loving; expressing love 恋爱的；爱慕的／The poet was especially good at writing ? poems. 该诗人特别擅长写情诗。,amatory［amat＝to love 爱；-ory a.＝related to 与…有关的→］a. related to loving; expressing love 恋爱的；爱慕的／The poet was especially good at writing amatory poems. 该诗人特别擅长写情诗。,"['amat', '-ory a.']",amatory
19,"?［?＝life 生命；?＝thing characterized by 具有…特征的东西→“thing characterized by having life 有生命的东西”→］? ① any creature 动物／Is it an ?, vegetable, or mineral? 它是动物、植物，还是矿物？② any creature other than man 除人以外的任何动物／There are all kinds of ?s in the zoo. 动物园里有各种各样的动物。③ any creature other than a man, bird, fish or insect 兽类／There are less and less wild ?s in the forest now. 如今森林里的野兽越来越少了。","animal［anim＝life 生命；-al n.＝thing characterized by 具有…特征的东西→“thing characterized by having life 有生命的东西”→］n. ① any creature 动物／Is it an animal, vegetable, or mineral? 它是动物、植物，还是矿物？② any creature other than man 除人以外的任何动物／There are all kinds of animals in the zoo. 动物园里有各种各样的动物。③ any creature other than a man, bird, fish or insect 兽类／There are less and less wild animals in the forest now. 如今森林里的野兽越来越少了。","['anim', '-al n.']",animal
20,"?［?＝life 生命；?＝having 有…的→“having life or spirits 有生命的，有精神的”→］Ⅰ? ① living 有生命的／The little girl likes to draw ? objects. 那个小女孩喜欢画生物。② full of life or spirits 生气勃勃的／Her son is an ? youth. 她儿子是个朝气蓬勃的年轻人。→Ⅱ? give life to, or make alive 使活跃／His jokes ?d the meeting. 他说的笑话使会议活跃起来。","animate［anim＝life 生命；-ate a.＝having 有…的→“having life or spirits 有生命的，有精神的”→］Ⅰa. ① living 有生命的／The little girl likes to draw animate objects. 那个小女孩喜欢画生物。② full of life or spirits 生气勃勃的／Her son is an animate youth. 她儿子是个朝气蓬勃的年轻人。→Ⅱv. give life to, or make alive 使活跃／His jokes animated the meeting. 他说的笑话使会议活跃起来。","['anim', '-ate a.', 'a.']",animate
21,"?［?＝life, spirit 生命，精神；?（?＋?）?＝the special state or quality 表特殊的状态或性质→“special spirit 特别的精神”→“strong feeling 强烈的感情”→］? strong dislike; hatred 敌意；仇恨／The ?osities between the two families lasted through generations. 两个家族之间仇恨数代相传。","animosity［anim＝life, spirit 生命，精神；-osity（-ous＋-ity）n.＝the special state or quality 表特殊的状态或性质→“special spirit 特别的精神”→“strong feeling 强烈的感情”→］n. strong dislike; hatred 敌意；仇恨／The animosities between the two families lasted through generations. 两个家族之间仇恨数代相传。","['anim', '-osity', '-ous', '-ity', 'n.']",animosity
22,"?［?＝great 大；?＝spirit 精神；?＝the quality 表性质→“the greatness of spirit or mind 精神上的大度”→］? the spirit of being unusually generous, or generosity 宽宏大量／He showed his ? in forgiving you. 他原谅了你，可见其宽宏大量。","magnanimity［magn＝great 大；anim＝spirit 精神；-ity n.＝the quality 表性质→“the greatness of spirit or mind 精神上的大度”→］n. the spirit of being unusually generous, or generosity 宽宏大量／He showed his magnanimity in forgiving you. 他原谅了你，可见其宽宏大量。","['magn', 'anim', '-ity n.']",magnanimity
23,?［?＝even 平衡的；?＝spirit 精神；?＝the quality 表性质→“the spirit with an even quality 平稳的精神品质”→］? calmness or steadiness of mind 平静；沉着；镇定／He faced the disaster with ?. 面对灾难，他泰然若定。,equanimity［equ＝even 平衡的；anim＝spirit 精神；-ity n.＝the quality 表性质→“the spirit with an even quality 平稳的精神品质”→］n. calmness or steadiness of mind 平静；沉着；镇定／He faced the disaster with equanimity. 面对灾难，他泰然若定。,"['equ', 'anim', '-ity n.']",equanimity
24,?［?（?us）= ? 长久的；?＝spirit 精神；?＝the quality 表性质→“the spirit with the quality of enduring ? 能长久忍耐的精神品质”→］? endurance; forbearance 忍耐性；坚韧性／He is remarkable for his ? in scientific research. 他在科研工作中以坚韧著称。,longanimity［long（longus）= long 长久的；anim＝spirit 精神；-ity n.＝the quality 表性质→“the spirit with the quality of enduring long 能长久忍耐的精神品质”→］n. endurance; forbearance 忍耐性；坚韧性／He is remarkable for his longanimity in scientific research. 他在科研工作中以坚韧著称。,"['long', 'longus', 'anim', '-ity n.']",longanimity
25,?［?＝one 一；?＝mind 思想；?＝having 有…的 →］? having one mind or sharing the same view 思想一致的；观点统一的／The conference was ? in support of the decision. 会议一致拥护这项决议。,unanimous［un＝one 一；anim＝mind 思想；-ous a.＝having 有…的 →］a. having one mind or sharing the same view 思想一致的；观点统一的／The conference was unanimous in support of the decision. 会议一致拥护这项决议。,"['un', 'anim', '-ous a.']",unanimous
26,?［?＝year 年；?；?＝to turn 转；?＝thing 物→“the day connected with the turning of a year 与时间周转一年相关的日子”→］? the day of a year on which sth happened 周年纪念日／The album of stamps was in memory of the 400th ? of Shakespeare's birth. 该邮集是为了纪念莎士比亚诞生400周年。,anniversary［ann＝year 年；-i-；vers＝to turn 转；-ary n.＝thing 物→“the day connected with the turning of a year 与时间周转一年相关的日子”→］n. the day of a year on which sth happened 周年纪念日／The album of stamps was in memory of the 400th anniversary of Shakespeare's birth. 该邮集是为了纪念莎士比亚诞生400周年。,"['ann', '-i-', 'vers', '-ary n.']",anniversary
27,?［?＝year 年；?；?＝of …的→］Ⅰ? of one year； yearly 一年的；每年的／An ? report will be delivered. 将要发表一份年度报告。→Ⅱ? book or pamphlet issued once a year 年鉴；年刊／He is the editor in chief of the ?s of the Historical Society. 他是历史协会年鉴的总编辑。,annual［ann＝year 年；-u-；-al a.＝of …的→］Ⅰa. of one year； yearly 一年的；每年的／An annual report will be delivered. 将要发表一份年度报告。→Ⅱn. book or pamphlet issued once a year 年鉴；年刊／He is the editor in chief of the annuals of the Historical Society. 他是历史协会年鉴的总编辑。,"['ann', '-u-', '-al a.', 'a.']",annual
28,?［?＝year 年；?＝thing 物；?表复数→“many things happened in a year 一年中发生的许多事情”→］?（?）yearly records; historical records 编年史；历史记载／You can find the picture in some war ? of the World War II. 你可以在某一本二战战史中找到这幅照片。,annals［ann＝year 年；-al n.＝thing 物；-s表复数→“many things happened in a year 一年中发生的许多事情”→］n.（pl.）yearly records; historical records 编年史；历史记载／You can find the picture in some war annals of the World War II. 你可以在某一本二战战史中找到这幅照片。,"['ann', '-al n.', '-s', 'n.']",annals
29,?［?＝through 通；?＝year 年；?；?＝of …的→“of the time through a year 贯通一年时间的”→］? ① lasting through the year 长年不断的／The mountains are covered with ? snow and ice. 山脉被终年不化的冰雪覆盖。② everlasting 长久的／Their ? efforts resulted in great success. 他们持久的努力收获了巨大的成功。,perennial［per-＝through 通；enn＝year 年；-i-；-al a.＝of …的→“of the time through a year 贯通一年时间的”→］a. ① lasting through the year 长年不断的／The mountains are covered with perennial snow and ice. 山脉被终年不化的冰雪覆盖。② everlasting 长久的／Their perennial efforts resulted in great success. 他们持久的努力收获了巨大的成功。,"['per-', 'enn', '-i-', '-al a.']",perennial
30,?［?＝year 年；?；?＝thing connected with 与…有关的事物→“money connected with one year 按一年时间计算的钱”→］? ① yearly allowance or income 年金；年收入／He was granted a life ? after 40 years' service. 供职40年之后，他得到了一份终身年金。② investment insurance which pays interest sum yearly 年金保险投资／The ? insurance policy will pay you a sum of money each year. 这份年金保险单每年会付给你一笔钱。,annuity［ann＝year 年；-u-；-ity n.＝thing connected with 与…有关的事物→“money connected with one year 按一年时间计算的钱”→］n. ① yearly allowance or income 年金；年收入／He was granted a life annuity after 40 years' service. 供职40年之后，他得到了一份终身年金。② investment insurance which pays interest sum yearly 年金保险投资／The annuity insurance policy will pay you a sum of money each year. 这份年金保险单每年会付给你一笔钱。,"['ann', '-u-', '-ity n.']",annuity
31,?［?＝over 超；?＝year or age 年，年龄；?； ?＝to cause to be 使成为→“to cause sb to be over-aged 使某人成为超龄者”→］? make to retire when one is over a certain age 因超过规定年龄而令其退休／He was ?d as soon as he reached the age of sixty. 他刚满60岁，就被指令退休了。,superannuate［super-＝over 超；ann＝year or age 年，年龄；-u-； -ate v.＝to cause to be 使成为→“to cause sb to be over-aged 使某人成为超龄者”→］v. make to retire when one is over a certain age 因超过规定年龄而令其退休／He was superannuated as soon as he reached the age of sixty. 他刚满60岁，就被指令退休了。,"['super-', 'ann', '-u-', '-ate v.']",superannuate
32,"?［?＝two, twice 二，两次；?＝year 年；?＝of …的→］? occurring twice a year 每年两度的／This is a ? examination, taking place in each April and October. 这种考试每年两次，分别在4月和10月举行。","biannual［bi-＝two, twice 二，两次；annu＝year 年；-al a.＝of …的→］a. occurring twice a year 每年两度的／This is a biannual examination, taking place in each April and October. 这种考试每年两次，分别在4月和10月举行。","['bi-', 'annu', '-al a.']",biannual
33,?［?＝two 二；?＝year 年；?＝of …的→“of two years 两年的”→］? lasting two years; once every two years 持续两年的；两年一度的／You will get a degree after fulfilling a ? research course. 修完两年的研究课程会授你学位。,biennial［bi-＝two 二；enni＝year 年；-al a.＝of …的→“of two years 两年的”→］a. lasting two years; once every two years 持续两年的；两年一度的／You will get a degree after fulfilling a biennial research course. 修完两年的研究课程会授你学位。,"['bi-', 'enni', '-al a.']",biennial
34,"?［?＝man 人类；?＝branch of science 表学科→“the science about man 研究人类的科学”→］? the science dealing with the physical, social, and cultural development of man 人类学／Now you can study ? in your home tow? 现在你在老家就可以学习人类学了。","anthropology［anthropo＝man 人类；-logy n.＝branch of science 表学科→“the science about man 研究人类的科学”→］n. the science dealing with the physical, social, and cultural development of man 人类学／Now you can study anthropology in your home town. 现在你在老家就可以学习人类学了。","['anthropo', '-logy n.']",anthropology
35,"?［?＝to love 爱；?＝man 人类；? person 人→“person who loves man 爱人类者”→］? person who loves his fellow men, especially, who is engaged in helping the poor men 博爱主义者；慈善家／Before the wars the European workers were once called ""the ragged-trousers ?s."" 战前，欧洲工人曾被称为“穿破裤子的慈善家”。","philanthropist［phil＝to love 爱；anthrop＝man 人类；-ist n. person 人→“person who loves man 爱人类者”→］n. person who loves his fellow men, especially, who is engaged in helping the poor men 博爱主义者；慈善家／Before the wars the European workers were once called ""the ragged-trousers philanthropists."" 战前，欧洲工人曾被称为“穿破裤子的慈善家”。","['phil', 'anthrop', '-ist n.']",philanthropist
36,?［?＝to hate 恨；?＝man 人类；?＝person 人→“person who hates his fellow men 厌恶人类者”→］? person who hates everybody and avoids being in the company of others 离群索居的厌世者；愤世嫉俗者／A ? can never become a phil?ist. 愤世嫉俗者是成不了慈善家的。,misanthropist［mis＝to hate 恨；anthrop＝man 人类；-ist n.＝person 人→“person who hates his fellow men 厌恶人类者”→］n. person who hates everybody and avoids being in the company of others 离群索居的厌世者；愤世嫉俗者／A misanthropist can never become a philanthropist. 愤世嫉俗者是成不了慈善家的。,"['mis', 'anthrop', '-ist n.']",misanthropist
37,?［?＝man 人类；?＝the study about…学→“the study about man 有关人类情况的学说”→］? the study of the geographical distribution of human races 人种地理分布学,anthropography［anthropo＝man 人类；-graphy n.＝the study about…学→“the study about man 有关人类情况的学说”→］n. the study of the geographical distribution of human races 人种地理分布学,"['anthropo', '-graphy n.']",anthropography
38,?［?＝man 人类；?＝the origin 起源→］? the study of man's origin and development 人类起源和发展学,anthropogenesis［anthropo＝man 人类；genesis＝the origin 起源→］n. the study of man's origin and development 人类起源和发展学,"['anthropo', 'genesis']",anthropogenesis
39,?［?＝man 人类；-?＝cutting… 切开术→］? human ana? 人体解剖学,anthropotomy［anthropo＝man 人类；-tomy＝cutting… 切开术→］n. human anatomy 人体解剖学,"['anthropo', 'tomy']",anthropotomy
40,?［?（?）= without 无；?＝rule 治理；?＝the state 表状态→“the state without rule or government 缺乏治理的状态”→］? absence of government or control 无秩序；无政府状态／He believes that any form of government is better than ?. 他认为任何形式的政府都要比无政府状态好。,anarchy［an-（a-）= without 无；arch＝rule 治理；-y n.＝the state 表状态→“the state without rule or government 缺乏治理的状态”→］n. absence of government or control 无秩序；无政府状态／He believes that any form of government is better than anarchy. 他认为任何形式的政府都要比无政府状态好。,"['an-', 'a-', 'arch', '-y n.']",anarchy
41,"?［?＝one, alone 单一；?＝ruler 统治者→“only one ruler, or a person who rules a country alone 单独治理国家者”→］? king of sovereign 国王；君主／The ? was ousted. 国王被赶下台了。","monarch［mon-＝one, alone 单一；arch＝ruler 统治者→“only one ruler, or a person who rules a country alone 单独治理国家者”→］n. king of sovereign 国王；君主／The monarch was ousted. 国王被赶下台了。","['mon-', 'arch']",monarch
42,"?［?＝one, alone 单一；?＝ruler 统治者；?＝the state 表状态→“the state or government of only one ruler 单人统治的政体”→］? government or land ruled by a mon? 君主政体；君主国／China was once a ?. 中国曾是个君主国。","monarchy［mon-＝one, alone 单一；arch＝ruler 统治者；-y n.＝the state 表状态→“the state or government of only one ruler 单人统治的政体”→］n. government or land ruled by a monarch 君主政体；君主国／China was once a monarchy. 中国曾是个君主国。","['mon-', 'arch', '-y n.']",monarchy
43,"?［?＝few 少；?＝ruler 统治者；?＝the state 表状态→“the state or government by a few rulers 由少数人统治的政府”→］? rule or government by a few, often for their own interests 寡头政治；寡头统治的政府／Ancient Sparta was actually an ?. 古斯巴达实际上是个寡头统治的国家。","oligarchy［olig-＝few 少；arch＝ruler 统治者；-y n.＝the state 表状态→“the state or government by a few rulers 由少数人统治的政府”→］n. rule or government by a few, often for their own interests 寡头政治；寡头统治的政府／Ancient Sparta was actually an oligarchy. 古斯巴达实际上是个寡头统治的国家。","['olig-', 'arch', '-y n.']",oligarchy
44,"?［?＝few 少，寡；?＝ruler 统治者→“one of a few rulers 少数统治者之一”→］? member of an ?y, the head of an ?y 寡头统治成员；寡头统治的执政者／a financial ? 金融寡头","oligarch［olig-＝few 少，寡；arch＝ruler 统治者→“one of a few rulers 少数统治者之一”→］n. member of an oligarchy, the head of an oligarchy 寡头统治成员；寡头统治的执政者／a financial oligarch 金融寡头","['olig-', 'arch']",oligarch
45,?［?＝many 多；?＝ruler 统治者；?＝the state 表状态→“the state or government by many rulers 由多人统治的政府”→］? rule or government by many heads 多头政治／Poly?y is quite different from democracy. 多头政治与民主政治是两回事。,polyarchy［poly-＝many 多；arch＝ruler 统治者；-y n.＝the state 表状态→“the state or government by many rulers 由多人统治的政府”→］n. rule or government by many heads 多头政治／Polyarchy is quite different from democracy. 多头政治与民主政治是两回事。,"['poly-', 'arch', '-y n.']",polyarchy
46,?［?＝mother 母；?＝ruler 统治者→“a ruler who is a mother 母权统治者”→］? woman who rules a large family or tribe 女家长；女族长／The tribe was once led by ?s. 那个部落一度以女族长为首。,matriarch［matri＝mother 母；arch＝ruler 统治者→“a ruler who is a mother 母权统治者”→］n. woman who rules a large family or tribe 女家长；女族长／The tribe was once led by matriarchs. 那个部落一度以女族长为首。,"['matri', 'arch']",matriarch
47,?［?＝mother 母；?＝rule 统治；?＝the state of 表状态→“the state of rule by mothers 母权统治”→］? social group or system ruled only by women 母权制；母系氏族制／Many ancient societies were ??ies. 许多远古社会是母权制社会。,matriarchy［matri＝mother 母；arch＝rule 统治；-y n.＝the state of 表状态→“the state of rule by mothers 母权统治”→］n. social group or system ruled only by women 母权制；母系氏族制／Many ancient societies were matriarchies. 许多远古社会是母权制社会。,"['matri', 'arch', '-y n.']",matriarchy
48,?［?＝ruler 统治者；?＝thing 物；?表复数→“documents belonging to rulers or government 属于统治者或政府的文件”→］? ① public records 档案 ② place in which public records are stored 档案室（馆）／Parts of the records in the central ? are not open to the public. 中央档案馆的部分文档尚未对公众开放。,archives［arch＝ruler 统治者；-ive n.＝thing 物；-s表复数→“documents belonging to rulers or government 属于统治者或政府的文件”→］n. ① public records 档案 ② place in which public records are stored 档案室（馆）／Parts of the records in the central archives are not open to the public. 中央档案馆的部分文档尚未对公众开放。,"['arch', '-ive n.', '-s']",archives
49,?［?＝chief 主要的；enemy ? 敌人 →］? chief enemy 头号敌人；主要敌人／I have become her ? since I was divorced from her daughter. 自从跟她女儿离了婚，我就成为她的头号敌人。,archenemy［arch-＝chief 主要的；enemy n. 敌人 →］n. chief enemy 头号敌人；主要敌人／I have become her archenemy since I was divorced from her daughter. 自从跟她女儿离了婚，我就成为她的头号敌人。,"['arch-', 'n.']",archenemy
50,?［?＝to hear 听；?；?＝the act or state 表行为或状态→“the act or state of hearing 听的行为或状态”→］? ① interview or conference 会见；接见／The foreign guests had an ? with the mayor. 外宾拜会了市长。② the people assembled to hear 听众／There will be a large ? today. 今天会有很多听众来。,audience［aud＝to hear 听；-i-；-ence n.＝the act or state 表行为或状态→“the act or state of hearing 听的行为或状态”→］n. ① interview or conference 会见；接见／The foreign guests had an audience with the mayor. 外宾拜会了市长。② the people assembled to hear 听众／There will be a large audience today. 今天会有很多听众来。,"['aud', '-i-', '-ence n.']",audience
51,?［?＝to hear 听；?＝place 场所→“place for hearing 听的场所”→］? ① building or room for public meetings 礼堂；讲厅／There is a report in the ? tonight. 今晚礼堂有个报告会。② the space allocated to the hearers 听众席／The author was found sitting in the ?. 发现作者坐在听众席。,auditorium［audit＝to hear 听；-orium n.＝place 场所→“place for hearing 听的场所”→］n. ① building or room for public meetings 礼堂；讲厅／There is a report in the auditorium tonight. 今晚礼堂有个报告会。② the space allocated to the hearers 听众席／The author was found sitting in the auditorium. 发现作者坐在听众席。,"['audit', '-orium n.']",auditorium
52,"?［?＝to hear 听；?＝capable of being 能被…的 →］? capable of being heard, or loud enough to be heard 听得见的；可闻的／Their whispers are hardly ?. 他们窃窃私语，别人听不见。","audible［aud＝to hear 听；-ible a.＝capable of being 能被…的 →］a. capable of being heard, or loud enough to be heard 听得见的；可闻的／Their whispers are hardly audible. 他们窃窃私语，别人听不见。","['aud', '-ible a.']",audible
53,?［?＝to hear 听→“to hear（the reading of accounts）听取（报读会计账目）”→］? ① examine（financial accounts）审查（账目），审计／The yearly accounts will be ?ed by a special committee. 年度账目将由特别委员会审计。② attend class in a university without intending to receive a grade（在大学）旁听／He is ?ing a history course at college. 他正在大学旁听历史课。,audit［audit＝to hear 听→“to hear（the reading of accounts）听取（报读会计账目）”→］v. ① examine（financial accounts）审查（账目），审计／The yearly accounts will be audited by a special committee. 年度账目将由特别委员会审计。② attend class in a university without intending to receive a grade（在大学）旁听／He is auditing a history course at college. 他正在大学旁听历史课。,['audit'],audit
54,?［?＝to hear 听；?= the act 表行为 →］? trial hearing（to an actor or singer）（对演员等）试听／I agree to give an ? to the singer. 我同意先听那个歌手试唱。,audition［audit＝to hear 听；-ion n.= the act 表行为 →］n. trial hearing（to an actor or singer）（对演员等）试听／I agree to give an audition to the singer. 我同意先听那个歌手试唱。,"['audit', '-ion n.']",audition
55,?［?＝to hear 听；?＝relating to 与…有关的 →］? relating to the sense of hearing 听觉的／Noise is harmful to ? nerves. 噪音会损害听觉神经。,auditory［audit＝to hear 听；-ory a.＝relating to 与…有关的 →］a. relating to the sense of hearing 听觉的／Noise is harmful to auditory nerves. 噪音会损害听觉神经。,"['audit', '-ory a.']",auditory
56,?［?＝to hear 听；?＝of …的→“of hearing 与听有关的”→］Ⅰ? pertaining to sound or sound waves 声音的；声波的／? frequency 音频 →Ⅱ? broadcast or recorded sound 播音；录音／My television set has a good picture by weak ?. 我的电视机图像清晰，但是收音不好。,audio［audi＝to hear 听；-o a.＝of …的→“of hearing 与听有关的”→］Ⅰa. pertaining to sound or sound waves 声音的；声波的／audio frequency 音频 →Ⅱn. broadcast or recorded sound 播音；录音／My television set has a good picture by weak audio. 我的电视机图像清晰，但是收音不好。,"['audi', '-o a.', 'a.']",audio
57,?［?＝to hear 听；?；?＝branch of science 表学科 →］? the science dealing with the sense of hearing 听觉学,audiology［audi＝to hear 听；-o-；-logy n.＝branch of science 表学科 →］n. the science dealing with the sense of hearing 听觉学,"['audi', '-o-', '-logy n.']",audiology
